soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,IoU,Energy per inference,Spike Rate
True,True,4,10,0.31048861315842563,3.5031726497436466e-07,0.0883026048541069
True,True,4,20,0.4209168425699075,9.593740060154232e-07,0.24182428419589996
True,True,4,40,0.6521096501747767,5.800231974717462e-07,0.14620333909988403
True,True,4,80,0.7379978012045224,6.053097081348824e-07,0.15257717669010162
True,True,4,100,0.7677498021225134,7.385680191873689e-07,0.1861668974161148
True,True,8,10,0.5359595440079769,4.846975798500353e-07,0.12217512726783752
True,True,8,20,0.6585617784162362,1.0024209586845245e-06,0.2526748776435852
True,True,8,40,0.7837503765523434,5.160836167306115e-07,0.13008643686771393
True,True,8,80,0.814125279088815,6.199208542057022e-07,0.15626013278961182
True,True,8,100,0.80486228009065,9.2688856057066e-07,0.23363584280014038
True,False,4,10,0.3090503998384035,7.411809974655625e-07,0.18682552874088287
True,False,4,20,0.4359068754315376,6.665906653324782e-07,0.168023943901062
True,False,4,40,0.649644463857015,4.1378129367330985e-07,0.1042996346950531
True,False,4,80,0.7549990424513817,4.809386950910266e-07,0.12122764438390732
True,False,4,100,0.761825699408849,5.33656077550404e-07,0.13451583683490753
True,False,8,10,0.5029916098589698,4.366251573628688e-07,0.1100577712059021
True,False,8,20,0.675436104213198,5.016270279156743e-07,0.12644244730472565
True,False,8,40,0.7701086569825808,8.974589036370162e-07,0.22621767222881317
True,False,8,80,0.8060928814609846,1.1698900834744563e-06,0.2948879301548004
True,False,8,100,0.8097215614716212,1.5152214700719924e-06,0.3819337785243988
False,True,4,10,0.13628820231339583,5.734722208217136e-07,0.144552081823349
False,True,4,20,0.13628820231339583,6.422951628337614e-07,0.1618998944759369
False,True,4,40,0.13628820231339583,5.377320348998182e-07,0.13554322719573975
False,True,4,80,0.13628820231339583,1.547608690088964e-06,0.390097439289093
False,True,4,100,0.13628820231339583,6.579790579053224e-07,0.16585326194763184
False,True,8,10,0.13628820231339583,1.2475441053538816e-06,0.31446176767349243
False,True,8,20,0.13628820231339583,1.012468601402361e-06,0.25520753860473633
False,True,8,40,0.13628820231339583,1.3761290347247268e-06,0.3468734920024872
False,True,8,80,0.13628820231339583,1.2490061180869816e-06,0.3148302733898163
False,True,8,100,0.13628820231339583,1.1029596862499602e-06,0.27801716327667236
False,False,4,10,0.2746155556702676,5.044928457209608e-07,0.127164825797081
False,False,4,20,0.2965249810740352,5.299032750372135e-07,0.1335698813199997
False,False,4,40,0.45319655413428944,5.112199232826242e-07,0.1288604736328125
False,False,4,80,0.615676186196506,5.054593543718511e-07,0.1274084448814392
False,False,4,100,0.6462681863705317,6.330896553663479e-07,0.15957953035831451
False,False,8,10,0.3580299722449854,9.192210086439445e-07,0.23170311748981476
False,False,8,20,0.4547053176909685,1.1426398032199359e-06,0.2880190908908844
False,False,8,40,0.6285004611810049,1.063367221831868e-06,0.2680372893810272
False,False,8,80,0.7069685072203478,1.1227222103116219e-06,0.28299859166145325
False,False,8,100,0.6959440288941066,1.1325738569212263e-06,0.28548184037208557
