soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,FN,TN,TP,FP,Precision,Recall,Accuracy,Energy per inference,Spike Rate
True,False,1,10,False,358,242,0,0,0.0,0.0,40.33,0.0,0.0
True,False,1,10,True,358,242,0,0,0.0,0.0,40.33,0.0,0.0
True,False,1,40,False,358,242,0,0,0.0,0.0,40.33,1.5000000583807998e-15,7.71948061029093e-10
True,False,1,40,True,224,49,193,134,82.05,62.57,69.5,1.0914765757874534e-09,0.0005617087590508163
True,False,1,80,False,358,242,0,0,0.0,0.0,40.33,7.800000337461477e-13,4.014129899587715e-07
True,False,1,80,True,256,205,102,37,87.37,71.51,76.83,2.258905507090958e-09,0.0011625051265582442
True,False,2,10,False,192,79,166,163,70.85,53.63,59.17,4.698180178230871e-10,0.0002417833893559873
True,False,2,10,True,222,108,136,134,67.27,62.01,59.33,6.339195279814192e-10,0.00032623528386466205
True,False,2,40,False,212,213,146,29,87.97,59.22,70.83,1.6528590718323244e-09,0.0008506141602993011
True,False,2,40,True,226,216,26,132,89.68,63.13,73.67,2.324086478822096e-09,0.0011960493866354227
True,False,2,80,False,238,216,120,26,90.15,66.48,75.67,2.2387229847709023e-09,0.001152118551544845
True,False,2,80,True,266,207,92,35,88.37,74.3,78.83,4.201158532168847e-09,0.0021620504558086395
True,False,4,10,False,234,59,183,124,79.86,65.36,69.5,2.5587976182350758e-09,0.0013168391305953264
True,False,4,10,True,210,48,194,148,81.4,58.66,67.33,2.5404149894825423e-09,0.0013073788722977042
True,False,4,40,False,270,233,88,9,96.77,75.42,83.83,6.0762572751116295e-09,0.003127036616206169
True,False,4,40,True,277,222,81,20,93.27,77.37,83.17,6.9905539135106665e-09,0.0035975626669824123
True,False,4,80,False,283,234,75,8,97.25,79.05,86.17,1.0558827590045894e-08,0.005433910526335239
True,False,4,80,True,264,240,94,2,99.25,73.74,84.0,1.1543970224181521e-08,0.005940896924585104
True,False,8,10,False,253,193,49,105,83.77,70.67,74.33,7.247799249654463e-09,0.0037299497053027153
True,False,8,10,True,227,220,22,131,91.16,63.41,74.5,5.677767589418181e-09,0.0029219607822597027
True,False,8,40,False,281,235,77,7,97.57,78.49,86.0,4.340208903386156e-08,0.02233610488474369
True,False,8,40,True,272,235,86,7,97.49,75.98,84.5,5.091737875773106e-08,0.026203712448477745
True,False,8,80,False,280,235,78,7,97.56,78.21,85.83,6.049334189128786e-08,0.031131809577345848
True,False,8,80,True,275,236,83,6,97.86,76.82,85.17,5.138342018540243e-08,0.02644355222582817
