soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,1,10,False,0.0,0.0,0.0,0.0,0.0
True,False,1,10,True,0.0,0.0,0.0,0.0,0.0
True,False,1,40,False,0.0,0.0,0.0,0.0,0.0
True,False,1,40,True,0.0,0.0,0.0,4.890000080207124e-13,9.98301104004895e-08
True,False,1,80,False,0.0,0.0,0.0,4.8000001868185593e-14,9.799274280908321e-09
True,False,1,80,True,0.0,0.0,0.0,1.669049967678582e-11,3.4073914321197663e-06
True,False,2,10,False,0.0,0.0,0.0,0.0,0.0
True,False,2,10,True,0.0,0.0,0.0,0.0,0.0
True,False,2,40,False,0.0,0.0,0.0,7.500000376607294e-14,1.531136639698616e-08
True,False,2,40,True,0.0,0.0,0.0,1.288500122570424e-12,2.630492872413015e-07
True,False,2,80,False,0.0,0.0,0.0,5.699999798330566e-14,1.1636637431422514e-08
True,False,2,80,True,0.0,0.0,0.0,3.076350285624585e-11,6.280416073423112e-06
True,False,4,10,False,0.0,0.0,0.0,2.1150000696114335e-13,4.317805135656272e-08
True,False,4,10,True,0.0,0.0,0.0,1.0359000116033634e-11,2.114805965902633e-06
True,False,4,40,False,64.5,85.5,71.97,3.094961797955875e-08,0.006318412255495787
True,False,4,40,True,56.77,74.82,70.28,1.5447056966877426e-08,0.00315354042686522
True,False,4,80,False,74.72,88.75,81.66,3.785308422266098e-08,0.007727765012532473
True,False,4,80,True,73.92,87.63,82.41,3.2654408954613245e-08,0.006666447967290878
True,False,8,10,False,51.42,64.47,72.91,3.543513926729247e-08,0.00723413797095418
True,False,8,10,True,49.58,63.18,69.36,3.447784635568496e-08,0.007038705516606569
True,False,8,40,False,77.0,90.56,83.21,6.812176422954508e-08,0.01390716340392828
True,False,8,40,True,81.23,92.72,86.15,7.914559319033287e-08,0.016157694160938263
True,False,8,80,False,82.75,92.29,87.87,7.770475463075854e-08,0.01586354523897171
True,False,8,80,True,81.52,92.28,87.02,6.477865355236645e-08,0.013224662281572819
