soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,80,False,0.05,False,70.02,87.93,78.59,3.2192332355407416e-08,2.1158981323242188
True,False,2,80,False,0.05,True,71.12,88.89,79.0,6.697442955783117e-08,4.402012825012207
True,False,2,80,False,0.1,False,63.42,81.96,75.34,1.7399655050098772e-08,1.1436231136322021
True,False,2,80,False,0.1,True,77.66,91.09,84.49,2.460997272635268e-08,1.6175340414047241
True,False,2,80,False,0.15,False,61.76,81.31,73.41,1.532587567965038e-08,1.0073202848434448
True,False,2,80,False,0.15,True,74.06,90.82,81.37,1.3070100557399655e-08,0.8590555191040039
True,False,5,80,False,0.05,False,37.5,37.5,100.0,1.7873631463771744e-07,11.747760772705078
True,False,5,80,False,0.05,True,79.98,92.9,86.15,1.0913112902244393e-07,7.172836780548096
True,False,5,80,False,0.1,False,77.57,91.69,84.47,6.631898941122927e-08,4.358932971954346
True,False,5,80,False,0.1,True,80.98,93.88,86.13,9.739092377003544e-08,6.401190757751465
True,False,5,80,False,0.15,False,77.55,92.09,84.1,4.5773074219823684e-08,3.008516311645508
True,False,5,80,False,0.15,True,81.39,93.44,87.08,6.482348879899291e-08,4.260638236999512
True,False,8,80,False,0.05,False,37.5,37.5,100.0,3.004813606821699e-07,19.74966812133789
True,False,8,80,False,0.05,True,37.5,37.5,100.0,2.425011302875646e-07,15.93881607055664
True,False,8,80,False,0.1,False,74.14,84.41,86.96,1.1297660762465966e-07,7.4255876541137695
True,False,8,80,False,0.1,True,82.31,93.33,88.11,1.7831077059327072e-07,11.719791412353516
True,False,8,80,False,0.15,False,80.36,91.39,88.06,1.1815385647651055e-07,7.765871524810791
True,False,8,80,False,0.15,True,83.63,93.95,88.89,1.3279260713261465e-07,8.728029251098633
