soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,80,False,0.05,False,37.5,37.5,100.0,1.7098638238621788e-07,2.810717821121216
True,False,2,80,False,0.05,True,37.5,37.5,100.0,2.69342649517057e-07,4.427523612976074
True,False,2,80,False,0.1,False,70.02,75.71,91.71,3.966513162367846e-08,0.652025580406189
True,False,2,80,False,0.1,True,78.65,83.43,93.77,5.96668385810517e-08,0.9808187484741211
True,False,2,80,False,0.15,False,58.12,65.92,88.15,2.379164421029145e-08,0.3910931646823883
True,False,2,80,False,0.15,True,81.73,88.33,92.03,3.0199824863075264e-08,0.49643245339393616
True,False,5,80,False,0.05,False,37.5,37.5,100.0,6.165151944514946e-07,10.134434700012207
True,False,5,80,False,0.05,True,37.5,37.5,100.0,4.93124218792218e-07,8.10610294342041
True,False,5,80,False,0.1,False,83.59,88.0,94.65,1.4069297549212934e-07,2.3127472400665283
True,False,5,80,False,0.1,True,84.38,89.47,94.03,1.0764446756184043e-07,1.7694873809814453
True,False,5,80,False,0.15,False,77.46,83.11,92.65,7.760350229091273e-08,1.2756662368774414
True,False,5,80,False,0.15,True,87.87,91.45,95.43,1.0489978308214631e-07,1.7243695259094238
True,False,8,80,False,0.05,False,37.5,37.5,100.0,9.269704719372385e-07,15.237778663635254
True,False,8,80,False,0.05,True,37.5,37.5,100.0,9.033776109390601e-07,14.849952697753906
True,False,8,80,False,0.1,False,79.68,84.25,93.95,2.1365487157254393e-07,3.512113571166992
True,False,8,80,False,0.1,True,88.4,93.38,94.26,3.360344464908849e-07,5.523820400238037
True,False,8,80,False,0.15,False,84.75,89.15,94.63,1.8114342026365193e-07,2.977682113647461
True,False,8,80,False,0.15,True,87.12,94.25,92.11,2.0223217234160984e-07,3.3243441581726074
