soft_reset,PARM_LEARN,FINISH_STEP,ACCUMULATE_EVENT_MILITIME,EVENT_COUNT,EVENT_TH,TIME_CHANGE,IoU,Precision,Recall,Energy per inference,Spike Rate
True,False,2,50,False,0.15,False,50.19,52.34,95.14,1.833279128504728e-08,0.3013591170310974
True,False,2,50,False,0.15,True,38.74,38.79,99.69,1.987990394525241e-08,0.3267909586429596
True,False,2,100,False,0.15,False,75.75,76.9,98.16,2.4943275889199867e-08,0.410023957490921
True,False,2,100,False,0.15,True,83.17,85.76,96.76,1.673245186850636e-08,0.27505233883857727
True,False,4,50,False,0.15,False,74.35,76.07,97.42,3.3220178607962225e-08,0.5460817813873291
True,False,4,50,False,0.15,True,81.35,83.89,96.67,2.7233845401042345e-08,0.4476769268512726
True,False,4,100,False,0.15,False,81.18,82.85,97.77,5.48916112563802e-08,0.9023224115371704
True,False,4,100,False,0.15,True,89.0,92.21,96.44,5.224870847087004e-08,0.8588777184486389
True,False,8,50,False,0.15,False,83.14,85.32,97.17,1.0954733653534277e-07,1.800767183303833
True,False,8,50,False,0.15,True,89.51,92.16,96.96,9.591418859145051e-08,1.5766620635986328
True,False,8,100,False,0.15,False,85.86,87.92,97.31,1.5471105996311962e-07,2.543179988861084
True,False,8,100,False,0.15,True,91.45,95.02,96.15,1.4595339337120095e-07,2.399219274520874
