number,radius,x,y,label,path
0,28.0,43.0,48.0,1,dataset\0000.h5
1,31.0,64.0,59.0,1,dataset\0001.h5
2,,,,0,dataset\0002.h5
3,17.0,36.0,41.0,1,dataset\0003.h5
4,23.0,47.0,46.0,1,dataset\0004.h5
5,,,,0,dataset\0005.h5
6,22.0,15.0,40.0,1,dataset\0006.h5
7,13.0,56.0,42.0,1,dataset\0007.h5
8,23.0,8.0,39.0,1,dataset\0008.h5
9,14.0,29.0,16.0,1,dataset\0009.h5
10,32.0,54.0,55.0,1,dataset\0010.h5
11,,,,0,dataset\0011.h5
12,30.0,23.0,46.0,1,dataset\0012.h5
13,,,,0,dataset\0013.h5
14,,,,0,dataset\0014.h5
15,,,,0,dataset\0015.h5
16,,,,0,dataset\0016.h5
17,16.0,50.0,11.0,1,dataset\0017.h5
18,28.0,0.0,64.0,1,dataset\0018.h5
19,27.0,51.0,4.0,1,dataset\0019.h5
20,,,,0,dataset\0020.h5
21,,,,0,dataset\0021.h5
22,4.0,41.0,43.0,1,dataset\0022.h5
23,,,,0,dataset\0023.h5
24,,,,0,dataset\0024.h5
25,28.0,34.0,16.0,1,dataset\0025.h5
26,20.0,4.0,39.0,1,dataset\0026.h5
27,,,,0,dataset\0027.h5
28,20.0,50.0,57.0,1,dataset\0028.h5
29,32.0,62.0,56.0,1,dataset\0029.h5
30,,,,0,dataset\0030.h5
31,30.0,63.0,38.0,1,dataset\0031.h5
32,,,,0,dataset\0032.h5
33,28.0,61.0,50.0,1,dataset\0033.h5
34,6.0,34.0,9.0,1,dataset\0034.h5
35,31.0,2.0,54.0,1,dataset\0035.h5
36,,,,0,dataset\0036.h5
37,,,,0,dataset\0037.h5
38,22.0,53.0,5.0,1,dataset\0038.h5
39,,,,0,dataset\0039.h5
40,,,,0,dataset\0040.h5
41,24.0,19.0,4.0,1,dataset\0041.h5
42,9.0,37.0,44.0,1,dataset\0042.h5
43,26.0,15.0,53.0,1,dataset\0043.h5
44,,,,0,dataset\0044.h5
45,,,,0,dataset\0045.h5
46,7.0,19.0,48.0,1,dataset\0046.h5
47,,,,0,dataset\0047.h5
48,,,,0,dataset\0048.h5
49,,,,0,dataset\0049.h5
